nodes,densidade,algoBitCliqueMaxPartite (tempo),russianDools (tempo),mcs (tempo),algoBitCliqueMaxPartite (nodes),russianDools (nodes)
2000,0.25,52.88789963722229,64.28749203681946,240.89465069770813,1759819,2512435
2000,0.25,49.97844696044922,60.93387961387634,231.06116914749146,1817737,2335320
2000,0.25,55.5288827419281,54.4264702796936,238.55782842636108,2285335,1927187
2000,0.25,52.27683734893799,56.62741780281067,233.24533891677856,2053974,2198028
2000,0.25,46.93786334991455,62.80806565284729,221.2984266281128,1651530,2610577
2000,0.25,58.21969246864319,63.819122076034546,241.66853618621826,2572345,2580780
2000,0.25,59.56689810752869,64.30899143218994,243.51363611221313,2675593,2676817
2000,0.25,58.8795485496521,63.286736726760864,242.3081705570221,2626168,2636094
2000,0.25,49.759403467178345,60.17684531211853,225.01457905769348,1861386,2451181
2000,0.25,59.11665368080139,62.61887454986572,241.23792791366577,2630935,2619493
500,0.5,16.92593502998352,18.870949506759644,31.07538914680481,922010,956098
500,0.5,16.80628752708435,18.900127172470093,30.871132612228394,925390,954682
500,0.5,20.423888206481934,21.13301706314087,32.62286448478699,1020339,1043858
500,0.5,17.26317524909973,19.20188856124878,31.492366552352905,966649,980099
500,0.5,16.69882321357727,18.59354829788208,30.66927480697632,919592,922516
500,0.5,18.187458753585815,19.957553386688232,33.1614875793457,1010693,989921
500,0.5,18.450505018234253,19.843123197555542,32.74377799034119,1050218,987217
500,0.5,16.49047327041626,18.331177711486816,30.71808123588562,911455,917083
500,0.5,17.23876953125,19.483884572982788,31.31752896308899,951588,995349
500,0.5,16.61690616607666,18.131206512451172,30.484848499298096,918674,899237
250,0.75,93.02283024787903,59.419042348861694,112.92320728302002,3868515,2001433
250,0.75,90.73303627967834,96.36337566375732,118.57280540466309,3716111,3426664
250,0.75,94.85504126548767,101.1842029094696,139.6449773311615,3903366,3716661
250,0.75,91.13604831695557,120.09511089324951,116.00275087356567,3823456,4652411
250,0.75,82.79841589927673,84.32208490371704,106.02880001068115,3292886,3030845
250,0.75,91.55234551429749,103.78480696678162,113.33826327323914,3826565,3920434
250,0.75,81.7332124710083,89.31335878372192,112.21057343482971,3287774,3231537
250,0.75,69.17215657234192,114.70972466468811,86.94581532478333,2647949,4149001
250,0.75,88.67622542381287,84.28473567962646,114.30438280105591,3493624,2924575
250,0.75,75.4189887046814,84.42277073860168,94.99270224571228,2893813,2936386
150,0.9,14.842937707901001,8.372536897659302,18.226152181625366,407165,192759
150,0.9,14.623791456222534,8.770438432693481,11.451451063156128,387888,196263
150,0.9,27.85352849960327,24.79302191734314,29.522828102111816,815796,645280
150,0.9,13.206830024719238,13.35063624382019,14.389664888381958,343750,269690
150,0.9,13.312707901000977,23.00472617149353,17.98299479484558,359815,583573
150,0.9,33.52096486091614,21.493837356567383,39.78792905807495,946907,512677
150,0.9,5.889840364456177,5.071691989898682,6.949136734008789,140655,104951
150,0.9,31.483577489852905,30.67453956604004,41.963905572891235,912335,791223
150,0.9,14.207885265350342,13.669965505599976,19.007787942886353,392196,333159
150,0.9,12.659699440002441,6.599926233291626,11.233367443084717,330550,139945
